load_dt,cntnt_id,invt_space_id,tdata_srv_type_id,srv_type_desc,served_content_cnt
10/14/15,5579f132ebdee613fee3f362,IS1033,1,Voice (Telco),1
10/14/15,558c8253323a7fc4009fd45f,IS1172,1,Voice (Telco),1
10/14/15,556e13b3ebdee613fee3f263,IS1159,1,Voice (Uvrs),1
10/14/15,5609a53a96c449533636e0aa,IS1059,1,Voice (Uvrs),1
10/14/15,54af021cb01662da5cf89bea,IS1092,1,Voice (Telco),1
10/14/15,55bee26796c449533636d856,IS1206,1,Voice (Telco),1
10/14/15,555690f2ab88a8b12bfb8636,IS1065,1,Voice (Telco),1
10/14/15,55e873f296c449533636de4d,IS1268,1,Voice (Uvrs),1
10/14/15,55f2fff396c449533636df08,IS1001,1,Voice (Telco),1
10/14/15,5482199ab01662da5cf8985a,IS1002,1,Voice (Telco),1
10/14/15,54af021cb01662da5cf89c09,IS1095,1,Voice (Uvrs),1
10/14/15,543c6f3bb01662da5cf88979,IS1033,1,Voice (Telco),1
10/14/15,5612d1a796c449533636e2c9,IS1059,2,Wireless,1
10/14/15,54d3f053b01662da5cf89ce4,IS1258,2,Wireless,1
10/14/15,5491dc02b01662da5cf89a4f,IS1059,2,Wireless,1
10/14/15,5501eaa598e6b8749a044c98,IS1050,2,Wireless,1
10/14/15,5449a118b01662da5cf889e4,IS1059,2,Wireless,1
10/14/15,5525ad5698e6b8749a044edd,IS1048,2,Wireless,1
10/14/15,55b67a1396c449533636d7ff,IS1064,2,Wireless,1
10/14/15,5537f82798e6b8749a044f8a,IS1050,2,Wireless,1
10/14/15,54814d62b01662da5cf89816,IS1001,2,Wireless,1
10/14/15,55f04ee396c449533636de8c,IS1001,2,Wireless,1
10/14/15,55db994796c449533636dc78,IS1003,2,Wireless,1
10/14/15,5514e93798e6b8749a044d96,IS1073,2,Wireless,1
10/14/15,54d3f053b01662da5cf89ce4,IS1256,2,Wireless,1
10/14/15,5514e93798e6b8749a044d9e,IS1075,2,Wireless,1
10/14/15,55bee26496c449533636d841,IS1210,2,Wireless,1
10/14/15,54af021cb01662da5cf89c06,IS1096,2,Wireless,1
10/14/15,5538306398e6b8749a044f91,IS1034,2,Wireless,1
10/14/15,55d63a9b96c449533636dc46,IS1064,2,Wireless,1
10/14/15,559c3832323a7fc4009fd6be,IS1035,2,Wireless,1
10/14/15,55dddcd696c449533636dd89,IS1271,2,Wireless,1
10/14/15,552431a398e6b8749a044e9b,IS1064,2,Wireless,1
10/14/15,543fe3cdb01662da5cf889d5,IS1062,2,Wireless,1
10/14/15,55dddcd596c449533636dd81,IS1273,2,Wireless,1
10/14/15,561d95eb96c449533636e3cc,IS1053,2,Wireless,1
10/14/15,543fe3cdb01662da5cf889d5,IS1060,2,Wireless,1
10/14/15,558c8253323a7fc4009fd45f,IS1159,2,Wireless,1
10/14/15,561c98c796c449533636e3b3,IS1044,2,Wireless,1
10/14/15,5514e93798e6b8749a044d9e,IS1073,2,Wireless,1
10/14/15,557b34a2323a7fc4009fd410,IS1053,2,Wireless,1
10/14/15,548731c6b01662da5cf89860,IS1062,2,Wireless,1
10/14/15,561d95ec96c449533636e3cf,IS1048,2,Wireless,1
10/14/15,55ad69c3323a7fc4009fd78a,IS1058,2,Wireless,1
10/14/15,55cce08896c449533636dbb4,IS1210,2,Wireless,1
10/14/15,5564f559ebdee613fee3f18e,IS1055,2,Wireless,1
10/14/15,5564f559ebdee613fee3f18e,IS1053,2,Wireless,1
10/14/15,5564f559ebdee613fee3f195,IS1053,2,Wireless,1
10/14/15,556e13b3ebdee613fee3f264,IS1159,2,Wireless,1
10/14/15,55e0aa9596c449533636ddcd,IS1046,2,Wireless,1
10/14/15,55b6ce7b96c449533636d816,IS1048,2,Wireless,1
10/14/15,561c284796c449533636e3aa,IS1062,2,Wireless,1
10/14/15,556e2fd3ebdee613fee3f296,IS1157,2,Wireless,1
10/14/15,55c3fd7396c449533636db51,IS1172,2,Wireless,1
10/14/15,5511f4e598e6b8749a044d37,IS1050,2,Wireless,1
10/14/15,54af021cb01662da5cf89c08,IS1095,2,Wireless,1
10/14/15,5538063398e6b8749a044f8c,IS1064,2,Wireless,1
10/14/15,55e5e28596c449533636ddf3,IS1257,2,Wireless,1
10/14/15,5564f559ebdee613fee3f198,IS1053,2,Wireless,1
10/14/15,5511f4e598e6b8749a044d39,IS1050,2,Wireless,1
10/14/15,55dddcd596c449533636dd81,IS1272,2,Wireless,1
10/14/15,561d6bb796c449533636e3c2,IS1059,2,Wireless,1
10/14/15,54ebc46798e6b8749a0448ac,IS1003,2,Wireless,1
10/14/15,5491dc02b01662da5cf89a57,IS1063,2,Wireless,1
10/14/15,54d3f053b01662da5cf89ce4,IS1058,2,Wireless,1
10/14/15,561d95eb96c449533636e3cc,IS1054,2,Wireless,1
10/14/15,559c3832323a7fc4009fd6be,IS1060,2,Wireless,1
10/14/15,552d965598e6b8749a044f34,IS1050,2,Wireless,1
10/14/15,55bee26496c449533636d83f,IS1210,2,Wireless,1
10/14/15,55259f4298e6b8749a044eca,IS1059,2,Wireless,1
10/14/15,5537f82798e6b8749a044f89,IS1054,2,Wireless,1
10/14/15,552d884398e6b8749a044f2f,IS1063,2,Wireless,1
10/14/15,552c52e598e6b8749a044f1d,IS1052,2,Wireless,1
10/14/15,5527452598e6b8749a044ef3,IS1052,2,Wireless,1
10/14/15,5564f559ebdee613fee3f198,IS1055,2,Wireless,1
10/14/15,55de122196c449533636dd9e,IS1266,2,Wireless,1
10/14/15,5567b168ebdee613fee3f1e0,IS1003,2,Wireless,1
10/14/15,5501eaa598e6b8749a044c8f,IS1054,2,Wireless,1
10/14/15,552431a398e6b8749a044e9b,IS1063,2,Wireless,1
10/14/15,557b34a3323a7fc4009fd411,IS1052,2,Wireless,1
10/14/15,55e4f37596c449533636dde9,IS1059,2,Wireless,1
10/14/15,553160a598e6b8749a044f64,IS1055,2,Wireless,1
10/14/15,55afe293323a7fc4009fd795,IS1064,2,Wireless,1
10/14/15,5491dc02b01662da5cf89a57,IS1059,2,Wireless,1
10/14/15,5491dc02b01662da5cf89a4f,IS1035,2,Wireless,1
10/14/15,55e7227296c449533636de02,IS1268,2,Wireless,1
10/14/15,55b67a1396c449533636d7ff,IS1063,2,Wireless,1
10/14/15,54815e64b01662da5cf8984e,IS1156,2,Wireless,1
10/14/15,5491dc02b01662da5cf89a4d,IS1059,2,Wireless,1
10/14/15,5531529298e6b8749a044f61,IS1059,2,Wireless,1
10/14/15,551da39698e6b8749a044e5f,IS1155,2,Wireless,1
10/14/15,5508ba6398e6b8749a044ced,IS1257,2,Wireless,1
10/14/15,556e2fd3ebdee613fee3f288,IS1167,2,Wireless,1
10/14/15,5564d933ebdee613fee3f15f,IS1256,2,Wireless,1
10/14/15,55de122196c449533636dd9c,IS1019,2,Wireless,1
10/14/15,55f3904296c449533636df23,IS1050,2,Wireless,1
10/14/15,54af021cb01662da5cf89bea,IS1096,2,Wireless,1
10/14/15,54af021db01662da5cf89c12,IS1093,2,Wireless,1
10/14/15,54af021db01662da5cf89c12,IS1095,2,Wireless,1
10/14/15,55cbd86396c449533636dba5,IS1229,2,Wireless,1
10/14/15,54af021db01662da5cf89c11,IS1095,2,Wireless,1
10/14/15,5519cfd298e6b8749a044de1,IS1061,2,Wireless,1
10/14/15,55c3fd7396c449533636db52,IS1162,2,Wireless,1
10/14/15,54ae04fbb01662da5cf89bad,IS1095,2,Wireless,1
10/14/15,5605a2a696c449533636e08f,IS1159,2,Wireless,1
10/14/15,543fe3cdb01662da5cf889d5,IS1058,2,Wireless,1
10/14/15,548731c6b01662da5cf89860,IS1061,2,Wireless,1
10/14/15,5612c01396c449533636e2c0,IS1003,2,Wireless,1
10/14/15,5514e93798e6b8749a044d9a,IS1076,2,Wireless,1
10/14/15,558c8253323a7fc4009fd45f,IS1172,2,Wireless,1
